location_inc,territory_name,year,bd_best,bd_low,bd_high,battle_location,region
Myanmar (Burma),Karenni,1996,124,124,140,Myanmar (Burma),Asia
Myanmar (Burma),Karenni,2005,35,35,35,"Thailand, Myanmar (Burma)",Asia
Iraq,,1991,237,237,1261,Iraq,Middle East
Iraq,,1992,280,280,741,Iraq,Middle East
Iraq,,1993,75,75,203,Iraq,Middle East
Iraq,,1994,34,34,36,Iraq,Middle East
Iraq,,1995,325,325,650,Iraq,Middle East
Iraq,,1996,42,42,66,Iraq,Middle East
Iraq,,2004,4094,4081,6142,Iraq,Middle East
Iraq,,2005,2608,2542,3563,Iraq,Middle East
Iraq,,2006,3923,3192,4123,Iraq,Middle East
Iraq,,2007,2212,2040,2481,Iraq,Middle East
Iraq,,2008,2112,2098,2539,Iraq,Middle East
Iraq,,2009,1036,926,1074,Iraq,Middle East
Iraq,,2010,989,810,1040,Iraq,Middle East
Iraq,,2011,864,737,959,Iraq,Middle East
Iraq,,2012,565,487,598,Iraq,Middle East
Iraq,,2013,1870,1723,1925,"Syria, Iraq",Middle East
Iraq,,2014,13761,13035,15037,"Syria, Iraq",Middle East
Iraq,,2015,10981,10918,12181,"Libya, Iraq, Syria, France",Middle East
Iraq,,2016,9775,9543,10214,"Belgium, Libya, Iraq, Syria",Middle East
Iraq,,2017,10025,9776,12186,"Yemen (North Yemen), Afghanistan, France, Iraq, Syria, Pakistan",Middle East
Iraq,,2018,866,856,900,"France, Iraq, Australia, Syria, Belgium",Middle East
Iraq,,2019,498,497,520,"United Kingdom, Syria, Iraq",Middle East
Iraq,,2020,671,638,711,"Syria, Iraq",Middle East
Iraq,,2021,707,628,816,"Iraq, Afghanistan",Middle East
Iraq,,2022,335,332,349,Iraq,Middle East
Lebanon,,1989,711,606,906,Lebanon,Middle East
Lebanon,,1990,700,400,800,Lebanon,Middle East
Laos,,1989,30,30,30,Laos,Asia
Laos,,1990,249,45,249,Laos,Asia
Myanmar (Burma),Shan,1993,130,130,230,Myanmar (Burma),Asia
Myanmar (Burma),Shan,1994,526,526,984,Myanmar (Burma),Asia
