location_inc,territory_name,year,bd_best,bd_low,bd_high,battle_location,region
Tajikistan,,2010,98,93,244,Tajikistan,Asia
Tajikistan,,2011,28,21,30,Tajikistan,Asia
Azerbaijan,,1993,60,60,88,Azerbaijan,Europe
Azerbaijan,,1995,44,44,72,Azerbaijan,Europe
Bosnia-Herzegovina,Bihaca Krajina,1993,231,202,317,Bosnia-Herzegovina,Europe
Bosnia-Herzegovina,Bihaca Krajina,1994,1385,1372,1659,Bosnia-Herzegovina,Europe
Bosnia-Herzegovina,Bihaca Krajina,1995,488,487,753,"Bosnia-Herzegovina, Croatia",Europe
Bosnia-Herzegovina,Croat,1992,80,80,80,Bosnia-Herzegovina,Europe
Bosnia-Herzegovina,Croat,1993,7949,7672,8765,Bosnia-Herzegovina,Europe
Bosnia-Herzegovina,Croat,1994,678,567,685,Bosnia-Herzegovina,Europe
Russia (Soviet Union),,1993,145,145,147,Russia (Soviet Union),Europe
Mexico,,1994,145,145,445,Mexico,Americas
Mexico,,1996,37,37,70,Mexico,Americas
Russia (Soviet Union),Chechnya,1994,229,229,338,Russia (Soviet Union),Europe
Russia (Soviet Union),Chechnya,1995,1754,1754,3896,Russia (Soviet Union),Europe
Russia (Soviet Union),Chechnya,1996,2721,2704,4027,Russia (Soviet Union),Europe
Russia (Soviet Union),Chechnya,1999,5769,5719,12068,Russia (Soviet Union),Europe
Russia (Soviet Union),Chechnya,2000,2907,2907,5329,Russia (Soviet Union),Europe
Russia (Soviet Union),Chechnya,2001,791,790,1032,Russia (Soviet Union),Europe
Russia (Soviet Union),Chechnya,2002,1289,1131,3196,"Georgia, Russia (Soviet Union)",Europe
Russia (Soviet Union),Chechnya,2003,480,476,626,Russia (Soviet Union),Europe
Russia (Soviet Union),Chechnya,2004,1151,1134,1304,"Russia (Soviet Union), Qatar",Europe
Russia (Soviet Union),Chechnya,2005,682,650,735,Russia (Soviet Union),Europe
Russia (Soviet Union),Chechnya,2006,259,259,357,Russia (Soviet Union),Europe
Russia (Soviet Union),Chechnya,2007,146,146,217,Russia (Soviet Union),Europe
Yemen (North Yemen),South Yemen,1994,1489,1283,3253,Yemen (North Yemen),Middle East
Benin,,2022,30,30,33,Benin,Africa
Algeria,Islamic State,2015,26,26,26,Algeria,Africa
"Peru, Ecuador",Cordillera del Condor,1995,99,92,303,"Peru, Ecuador",Americas
Pakistan,,1990,70,70,70,Pakistan,Asia
Pakistan,,1994,38,38,38,Pakistan,Asia
Pakistan,,1995,52,52,55,Pakistan,Asia
Pakistan,,1996,42,42,42,Pakistan,Asia
Pakistan,,2007,585,585,727,Pakistan,Asia
Pakistan,,2008,2998,2980,3699,Pakistan,Asia
Pakistan,,2009,6303,4774,6721,Pakistan,Asia
Pakistan,,2010,5574,5322,6409,Pakistan,Asia
Pakistan,,2011,2598,2561,2909,"Afghanistan, Pakistan",Asia
Pakistan,,2012,2673,2673,2742,Pakistan,Asia
Pakistan,,2013,1729,1729,1758,Pakistan,Asia
Pakistan,,2014,2947,2945,3016,Pakistan,Asia
Pakistan,,2015,1954,1954,1989,"Afghanistan, Pakistan",Asia
Pakistan,,2016,526,526,534,"Afghanistan, Pakistan",Asia
Pakistan,,2017,506,506,507,"Afghanistan, Pakistan",Asia
Pakistan,,2018,147,147,155,"Afghanistan, Pakistan",Asia
Pakistan,,2019,148,148,153,Pakistan,Asia
Pakistan,,2020,186,186,186,Pakistan,Asia
Pakistan,,2021,259,257,273,"Afghanistan, Pakistan",Asia
Pakistan,,2022,494,492,525,"Afghanistan, Pakistan",Asia
"Nigeria, Cameroon",Bakassi,1996,56,56,57,Cameroon,Africa
Niger,Eastern Niger,1995,34,34,34,Niger,Africa
Comoros,Anjouan,1997,56,56,78,Comoros,Africa
Congo,,2016,73,73,73,Congo,Africa
Congo,,1993,53,53,53,Congo,Africa
Congo,,1997,10033,10033,20033,"DR Congo (Zaire), Congo",Africa
Congo,,1998,3272,3272,3476,Congo,Africa
Congo,,1999,626,626,1516,Congo,Africa
Congo,,2002,167,167,171,Congo,Africa
"Eritrea, Ethiopia",Common border,2000,50000,50000,50000,"Eritrea, Ethiopia",Africa
"Eritrea, Ethiopia",Common border,2016,25,25,200,Eritrea,Africa
"Eritrea, Ethiopia",Common border,1998,1000,218,1980,"Eritrea, Ethiopia",Africa
"Eritrea, Ethiopia",Common border,1999,47192,47192,47192,"Eritrea, Ethiopia",Africa
Guinea-Bissau,,1998,505,501,702,Guinea-Bissau,Africa
Guinea-Bissau,,1999,199,154,225,Guinea-Bissau,Africa
Lesotho,,1998,78,78,78,Lesotho,Africa
Ukraine,,2014,88,88,107,Ukraine,Europe
Serbia (Yugoslavia),Kosovo,1998,1235,651,2288,Serbia (Yugoslavia),Europe
Serbia (Yugoslavia),Kosovo,1999,1404,1349,3074,"Serbia (Yugoslavia), Albania",Europe
Ethiopia,Oromiya,1989,25,25,150,Ethiopia,Africa
Ethiopia,Oromiya,1990,80,80,3036,Ethiopia,Africa
Ethiopia,Oromiya,1991,700,700,1330,Ethiopia,Africa
Ethiopia,Oromiya,1992,165,165,275,Ethiopia,Africa
Ethiopia,Oromiya,1994,25,25,42,Ethiopia,Africa
Ethiopia,Oromiya,1995,25,1,402,Ethiopia,Africa
Ethiopia,Oromiya,1998,25,25,25,Ethiopia,Africa
Ethiopia,Oromiya,1999,683,372,2914,"Kenya, Ethiopia",Africa
Ethiopia,Oromiya,2000,25,25,608,Ethiopia,Africa
Ethiopia,Oromiya,2001,25,10,876,"Kenya, Ethiopia",Africa
Ethiopia,Oromiya,2002,25,25,1434,Ethiopia,Africa
Ethiopia,Oromiya,2003,25,25,76,Ethiopia,Africa
Ethiopia,Oromiya,2004,25,0,167,Ethiopia,Africa
Ethiopia,Oromiya,2005,25,0,75,Ethiopia,Africa
Ethiopia,Oromiya,2006,25,0,202,Ethiopia,Africa
Ethiopia,Oromiya,2007,25,0,361,Ethiopia,Africa
Ethiopia,Oromiya,2008,25,25,175,Ethiopia,Africa
Ethiopia,Oromiya,2009,42,42,97,Ethiopia,Africa
Ethiopia,Oromiya,2010,25,25,128,Ethiopia,Africa
Ethiopia,Oromiya,2011,25,0,174,Ethiopia,Africa
Ethiopia,Oromiya,2012,25,25,162,Ethiopia,Africa
Ethiopia,Oromiya,2013,25,25,93,Ethiopia,Africa
Ethiopia,Oromiya,2015,25,25,110,"Kenya, Ethiopia",Africa
Ethiopia,Oromiya,2016,25,5,292,Ethiopia,Africa
Ethiopia,Oromiya,2019,40,40,43,Ethiopia,Africa
Ethiopia,Oromiya,2020,28,28,378,Ethiopia,Africa
Ethiopia,Oromiya,2021,280,276,3774,Ethiopia,Africa
Ethiopia,Oromiya,2022,764,652,5963,"Kenya, Ethiopia",Africa
Russia (Soviet Union),Dagestan,1999,85,85,125,Russia (Soviet Union),Europe
Uzbekistan,,2000,471,410,482,"Kyrgyzstan, Uzbekistan",Asia
Uzbekistan,,2004,37,19,50,Uzbekistan,Asia
Uzbekistan,,1999,67,64,76,"Tajikistan, Kyrgyzstan, Uzbekistan",Asia
Central African Republic,,2017,35,35,35,Central African Republic,Africa
Central African Republic,,2018,103,100,116,Central African Republic,Africa
Central African Republic,,2019,51,48,53,Central African Republic,Africa
Central African Republic,,2020,57,57,67,Central African Republic,Africa
Central African Republic,,2021,906,743,916,Central African Republic,Africa
Central African Republic,,2022,675,675,801,Central African Republic,Africa
Central African Republic,,2001,195,195,295,Central African Republic,Africa
Central African Republic,,2002,131,129,184,Central African Republic,Africa
Central African Republic,,2006,46,44,168,Central African Republic,Africa
Central African Republic,,2009,28,28,71,Central African Republic,Africa
Central African Republic,,2010,25,25,105,Central African Republic,Africa
Central African Republic,,2011,44,44,79,Central African Republic,Africa
